author_id,conversation_id,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
1324744185690398721,1554742391931912193,2022-08-03T08:14:06.000Z,1554742391931912193,,0,0,0,42,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
3014404985,1554672250510508032,2022-08-03T03:42:40.000Z,1554674082586791939,59591856,4,0,0,1,"@Flamengo 🔥🔴⚫️ WTF BRO!!! ¨%$#%$*&amp; ⚫️🔴🔥
... #Rodinei \"strikes again!\"

#Flamengo  #flamengomalvadao https://t.co/zBDBKcyb9B"
1441402515044581376,1554554475163140101,2022-08-02T19:47:23.000Z,1554554475163140101,,0,0,0,51,"RT @VictorFla_: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QUE…"
3083841756,1553131826767691778,2022-07-29T21:34:17.000Z,1553131826767691778,,0,0,0,44,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1327067620122750977,1552429295280201729,2022-07-27T23:02:41.000Z,1552429295280201729,,0,0,0,36,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1474029903662170116,1554636649774157824,2022-08-03T01:13:55.000Z,1554636649774157824,,1,0,0,0,"AQUI É MENGÃO CRLHH! EXQUECE!!! 🤬❤🖤
#Flamengo #flamengomalvadao #CRF #mengao #Corinthians"
1402801393572921346,1553511693191462913,2022-07-30T22:43:45.000Z,1553511693191462913,,0,0,0,35,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1019429425841090560,1554657566289952770,2022-08-03T02:37:02.000Z,1554657566289952770,59591856,0,0,0,0,"@Flamengo
#FLAxCOR
#flamengomalvadao 
#Flamengo https://t.co/GV1ZemRhR3"
1441402515044581376,1554197144629903361,2022-08-01T20:07:29.000Z,1554197144629903361,,0,0,0,37,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
787435465,1554416125403971585,2022-08-02T10:37:38.000Z,1554416125403971585,,0,0,0,30,"RT @ajudesalvardan1: #flamengomalvadao 
E uma luta incansável pessoal ajudem divulguem pois Daniel tem um gasto de 2500.00 por mes sem cont…"
1540849609676832768,1553560587615043585,2022-07-31T01:58:02.000Z,1553560587615043585,,1,0,0,0,"⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QUEM CURTIR SEU COMENTÁRIO 🔴

➡ Vou seguir todos que derem RT/e me seguir.
#RNsegueRN
#flamengomalvadao"
1489193161977212939,1554624328163069953,2022-08-03T00:24:58.000Z,1554624328163069953,,0,0,0,0,Bora Mengooooo #CORxFLA #flamengomalvadao
1441402515044581376,1552974014838185984,2022-07-29T11:07:12.000Z,1552974014838185984,,0,0,0,17,"RT @flanatico88: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1148360236471914497,1554210267600486400,2022-08-01T20:59:38.000Z,1554210267600486400,,0,0,0,37,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1327067620122750977,1554606400113938434,2022-08-02T23:13:43.000Z,1554606400113938434,,0,0,0,51,"RT @VictorFla_: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QUE…"
918668349239889920,1552982613052252160,2022-07-29T11:41:22.000Z,1552982613052252160,,0,0,0,17,"RT @flanatico88: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1311856957565931520,1554653968218947585,2022-08-03T02:22:44.000Z,1554653968218947585,,1,0,0,0,"#vamosflamengo
Em terra de urubu gavião N tem vez kkkkkkk 
#colunadofla #flamengomalvadao 
#FLAxCOR"
792555646017208320,1554250028117532672,2022-08-01T23:37:37.000Z,1554250028117532672,,0,0,0,10,"RT @LuccasRIO: BOA NOITE NR🌟🔴⚫

⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEG…"
110002533,1554639590937563137,2022-08-03T01:25:36.000Z,1554639590937563137,,0,0,0,42,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
876118916170481664,1554657080434466816,2022-08-03T02:35:06.000Z,1554657080434466816,,6,0,0,0,#FLA #flamengomalvadao #MengaoPeloMundo https://t.co/06b6K22S1i
1302733579747840001,1554467940665270274,2022-08-02T14:03:32.000Z,1554467940665270274,,0,0,0,30,"RT @ajudesalvardan1: #flamengomalvadao 
E uma luta incansável pessoal ajudem divulguem pois Daniel tem um gasto de 2500.00 por mes sem cont…"
1476946225240981505,1554660098533998592,2022-08-03T02:47:06.000Z,1554660098533998592,,2,0,1,0,"⚠️CRAQUE DO JOGO⚠️

E então, Nação Rubro-negra. Após esta partida com pouquíssimos erros por parte do #flamengomalvadao, quem foi o craque da partida na sua opinião?
Defesa sólida, Rodinei apoiando horrores, ataque participativo... e agora?
#FLAxCOR #RNsegueRN #AntonioMoraesNews"
